"","X","Year","Region","Species","Latitude","Latitude_std_err","Longitude","Longitude_std_err","Depth","Depth_std_err","Common.Name"
"1",21130,1971,"Gulf of St. Lawrence South","Homarus americanus",45.8967312312312,,-62.476134009009,,,,"American lobster"
"2",21131,1972,"Gulf of St. Lawrence South","Homarus americanus",46.8950897435897,,-64.4685392628205,,,,"American lobster"
"3",21132,1973,"Gulf of St. Lawrence South","Homarus americanus",45.8967312312312,,-62.476134009009,,,,"American lobster"
"4",21133,1974,"Gulf of St. Lawrence South","Homarus americanus",45.8967312312312,,-62.476134009009,,,,"American lobster"
"5",21134,1975,"Gulf of St. Lawrence South","Homarus americanus",46.5553769063181,0,-61.602654003268,0,,,"American lobster"
"6",21135,1976,"Gulf of St. Lawrence South","Homarus americanus",45.8967312312312,,-62.476134009009,,,,"American lobster"
"7",21136,1977,"Gulf of St. Lawrence South","Homarus americanus",45.8967312312312,,-62.476134009009,,,,"American lobster"
"8",21137,1978,"Gulf of St. Lawrence South","Homarus americanus",45.8967312312312,,-62.476134009009,,,,"American lobster"
"9",21138,1979,"Gulf of St. Lawrence South","Homarus americanus",45.8967312312312,,-62.476134009009,,,,"American lobster"
"10",21139,1980,"Gulf of St. Lawrence South","Homarus americanus",46.3512838273137,0.236474062991082,-62.4906461276366,0.162027915037435,,,"American lobster"
"11",21140,1981,"Gulf of St. Lawrence South","Homarus americanus",46.1631774161797,0.23801720848357,-62.4689882262775,0.0063833500130811,,,"American lobster"
"12",21141,1982,"Gulf of St. Lawrence South","Homarus americanus",46.3517082960751,0.710270699878912,-63.0275002493752,0.860745113753997,,,"American lobster"
"13",21142,1983,"Gulf of St. Lawrence South","Homarus americanus",45.8967312312312,,-62.476134009009,,,,"American lobster"
"14",21143,1984,"Gulf of St. Lawrence South","Homarus americanus",46.6354549022387,0.0624848393557753,-63.4156234628254,0.116590315782456,,,"American lobster"
"15",21144,1985,"Gulf of St. Lawrence South","Homarus americanus",46.4724126418839,0.157935265801261,-62.678606923216,0.221514239083998,,,"American lobster"
"16",21145,1986,"Gulf of St. Lawrence South","Homarus americanus",46.5284198287751,0.201805750473655,-62.8011183075257,0.2058711209363,,,"American lobster"
"17",21146,1987,"Gulf of St. Lawrence South","Homarus americanus",46.597775313295,0.0261191320979975,-62.6792950505841,0.202607742170994,,,"American lobster"
"18",21147,1988,"Gulf of St. Lawrence South","Homarus americanus",46.6367556254818,0.151962164808481,-63.1137625166636,0.314212248031219,,,"American lobster"
"19",21148,1989,"Gulf of St. Lawrence South","Homarus americanus",46.5408858211409,0.101658920695018,-62.4453020192229,0.0559156624894475,,,"American lobster"
"20",21149,1990,"Gulf of St. Lawrence South","Homarus americanus",46.6265583500554,0.101146033817447,-62.6024626312001,0.215424017297783,,,"American lobster"
"21",21150,1991,"Gulf of St. Lawrence South","Homarus americanus",47.1913735074644,0.280522649985456,-64.0091121519393,0.372017704936878,,,"American lobster"
"22",21151,1992,"Gulf of St. Lawrence South","Homarus americanus",46.7597529826993,0.301834969143683,-63.4522320691883,0.408634312632455,,,"American lobster"
"23",21152,1993,"Gulf of St. Lawrence South","Homarus americanus",46.4634757703703,0.159249448695889,-63.1552957813186,0.205507984056328,,,"American lobster"
"24",21153,1994,"Gulf of St. Lawrence South","Homarus americanus",46.6954497566039,0.26614959482304,-63.4675279140856,0.32209260101531,,,"American lobster"
"25",21154,1995,"Gulf of St. Lawrence South","Homarus americanus",46.5639592729053,0.128217936144406,-62.843960084644,0.254141794928024,,,"American lobster"
"26",21155,1996,"Gulf of St. Lawrence South","Homarus americanus",46.7083427061699,0.189536683908304,-62.9026257430153,0.383011736366452,,,"American lobster"
"27",21156,1997,"Gulf of St. Lawrence South","Homarus americanus",46.6144455765876,0.174344893954828,-63.0399860507264,0.299254847609512,,,"American lobster"
"28",21157,1998,"Gulf of St. Lawrence South","Homarus americanus",46.5333681967146,0.128917347739129,-62.7017117254492,0.228810297073732,,,"American lobster"
"29",21158,1999,"Gulf of St. Lawrence South","Homarus americanus",46.7625705631994,0.226001078586153,-63.3319899939032,0.362427743079008,,,"American lobster"
"30",21159,2000,"Gulf of St. Lawrence South","Homarus americanus",46.7856178397068,0.181743815304928,-63.0625391657034,0.343215964003939,,,"American lobster"
"31",21160,2001,"Gulf of St. Lawrence South","Homarus americanus",46.6858794747619,0.177290492060555,-62.8769493705723,0.353555915204593,,,"American lobster"
"32",21161,2002,"Gulf of St. Lawrence South","Homarus americanus",46.6869597772046,0.157341506920098,-62.6977636941094,0.412333220668125,,,"American lobster"
"33",21162,2004,"Gulf of St. Lawrence South","Homarus americanus",46.906596943466,0.193403154697967,-63.1531902285045,0.413428567517944,,,"American lobster"
"34",21163,2005,"Gulf of St. Lawrence South","Homarus americanus",46.5690196540098,0.344013214733355,-62.7931132837323,0.335485762793323,,,"American lobster"
"35",21164,2006,"Gulf of St. Lawrence South","Homarus americanus",46.849898001858,0.215015090765064,-63.2858530816688,0.388252308205094,,,"American lobster"
"36",21165,2007,"Gulf of St. Lawrence South","Homarus americanus",46.7458720580099,0.15040467839054,-63.1049444129397,0.301907668865778,,,"American lobster"
"37",21166,2008,"Gulf of St. Lawrence South","Homarus americanus",46.7331185503498,0.170741256341026,-63.2532286220265,0.325833093055098,,,"American lobster"
"38",21167,2009,"Gulf of St. Lawrence South","Homarus americanus",46.8504502489903,0.183099467338361,-63.3945338770859,0.344671489826168,,,"American lobster"
"39",21168,2010,"Gulf of St. Lawrence South","Homarus americanus",46.8811474938647,0.197999004137818,-62.9857352621596,0.368971837392308,,,"American lobster"
"40",21169,2011,"Gulf of St. Lawrence South","Homarus americanus",46.7922145801173,0.156684046809349,-63.1534526979666,0.324099234178755,,,"American lobster"
"41",21170,2012,"Gulf of St. Lawrence South","Homarus americanus",47.227151561544,0.179763005652173,-62.542389390436,0.447013645577598,,,"American lobster"
"42",21171,2013,"Gulf of St. Lawrence South","Homarus americanus",46.7042930409122,0.150821308318535,-62.9332557258273,0.294867752756788,,,"American lobster"
"43",21172,2014,"Gulf of St. Lawrence South","Homarus americanus",47.0097530721826,0.240238147648554,-63.7278868507084,0.349332231063144,,,"American lobster"
"44",21173,2015,"Gulf of St. Lawrence South","Homarus americanus",47.1927930892005,0.235469272941559,-63.7634741812157,0.320885138094633,,,"American lobster"
"45",21174,2016,"Gulf of St. Lawrence South","Homarus americanus",47.1043984588503,0.246485935441571,-63.8136847961513,0.32388028467789,,,"American lobster"
"46",21175,2017,"Gulf of St. Lawrence South","Homarus americanus",47.1714623976572,0.199652998524156,-63.1888022901584,0.472329023240109,,,"American lobster"
"47",21176,2018,"Gulf of St. Lawrence South","Homarus americanus",47.2114691597512,0.19690209361793,-63.3290208437243,0.479769313623985,,,"American lobster"
"48",21177,2019,"Gulf of St. Lawrence South","Homarus americanus",46.9098090137088,0.180331384939877,-63.3247004034151,0.376765582449596,,,"American lobster"
"49",22961,1970,"Maritimes Summer","Homarus americanus",,,,,,,"American lobster"
"50",22962,1971,"Maritimes Summer","Homarus americanus",43.6478229892265,0.243561859347773,-61.4199989068177,1.78131675514077,115.71078389437,26.8958212924809,"American lobster"
"51",22963,1972,"Maritimes Summer","Homarus americanus",43.366380005672,0.264223255372756,-65.8257047701253,0.67135629478846,157.564961450704,20.542832987699,"American lobster"
"52",22964,1973,"Maritimes Summer","Homarus americanus",43.2098829137148,0.284056695571736,-64.1286224992509,1.18618734042275,137.883772884341,24.6584174027076,"American lobster"
"53",22965,1974,"Maritimes Summer","Homarus americanus",45.0475686505661,0.131772361519945,-66.1303054148303,0.473170459792959,69.5338962490178,7.78733564082667,"American lobster"
"54",22966,1975,"Maritimes Summer","Homarus americanus",43.021190283568,0.39478612990382,-66.0473036808499,0.183136870042842,132.408227376912,31.3992344407985,"American lobster"
"55",22967,1976,"Maritimes Summer","Homarus americanus",,,,,,,"American lobster"
"56",22968,1977,"Maritimes Summer","Homarus americanus",43.7303262798509,0.20788829345235,-63.5094367509053,0.971975967412629,131.919045033296,11.4571720623718,"American lobster"
"57",22969,1978,"Maritimes Summer","Homarus americanus",42.8605616812163,0.281247606193056,-65.5102765135299,0.617886275310594,128.503181573058,18.9244827540609,"American lobster"
"58",22970,1979,"Maritimes Summer","Homarus americanus",43.1183876028439,0.222930841300693,-65.9001301465268,0.392537187500818,152.116652448244,13.2386976449111,"American lobster"
"59",22971,1980,"Maritimes Summer","Homarus americanus",43.8107840046547,0.288971848314885,-65.2324182469,1.18268481215893,187.871514581337,23.9276989187329,"American lobster"
"60",22972,1981,"Maritimes Summer","Homarus americanus",44.0564067911363,0.401272450714483,-66.4014921078216,0.155534475380576,116.294019781812,15.6362491855857,"American lobster"
"61",22973,1982,"Maritimes Summer","Homarus americanus",43.9469654830035,0.302534067575178,-65.896237795054,0.572297731454045,133.005534184275,10.4640556206534,"American lobster"
"62",22974,1983,"Maritimes Summer","Homarus americanus",44.6753033708498,0.255199780884429,-64.6953075809881,0.93602096963936,83.1336239349659,9.33745530953964,"American lobster"
"63",22975,1984,"Maritimes Summer","Homarus americanus",42.9009876987376,0.199658021798045,-64.4108212760328,1.07717303715848,104.871152223034,12.5260052796237,"American lobster"
"64",22976,1985,"Maritimes Summer","Homarus americanus",43.4051456021329,0.190719295840296,-62.9811004108748,0.896239412538545,117.449596494661,13.1452782071831,"American lobster"
"65",22977,1986,"Maritimes Summer","Homarus americanus",43.5225722984937,0.140997124901833,-62.725767314705,1.05466930502464,133.164491465195,11.2638383390966,"American lobster"
"66",22978,1987,"Maritimes Summer","Homarus americanus",43.2067155540198,0.125529275333943,-64.8599632853893,0.490750186385698,148.723568634704,11.2435757108754,"American lobster"
